data,ZF,ZT,LLG,LRC,GC,HG,KC,PA,PL,SI,CC,LE,CGB,UB,ZB,ZN,TN,CT,KE,ZC,ZL,ZM,ZS,ZW,ES,SNK,SSG,YAP,6A,6B,6C,6E,6J,6M,6N,6S,BRN,CL,DX,FCE,FDAX,FESX,FGBL,FGBM,FGBS,GAS,GF,HE,HO,HSI,KOS,LCC,LEU,LFT,NG,RB,SB,SCN,SO3,SR3,WBS,YXT,YYT,ZQ
1997-09-09,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-10,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-11,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-12,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-15,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-16,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-17,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-18,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-19,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-22,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-23,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-24,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-25,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-26,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-29,27,0,8,0,0,0,2,13,23,0,22,27,0,0,12,51,0,0,0,0,0,0,0,20,0,0,0,14,0,0,0,0,0,22,0,0,0,0,12,14,0,0,0,0,0,0,21,0,0,19,0,26,0,9,5,0,30,0,0,0,0,13,37,0
1997-09-30,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-01,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-02,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-03,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-06,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-07,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-08,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-09,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-10,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-13,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-14,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-15,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-16,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-17,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-20,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-21,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-22,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-23,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-24,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-27,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-28,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-29,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-30,25,30,8,0,0,0,0,12,21,76,21,26,14,0,11,52,0,0,0,0,34,0,0,0,0,0,0,12,0,0,0,0,0,21,0,0,0,0,12,12,0,0,0,0,0,0,20,0,0,18,0,24,0,8,4,0,29,0,0,0,0,12,35,0
1997-10-31,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-03,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-04,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-05,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-06,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-07,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-10,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-11,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-12,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-13,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-14,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-17,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-18,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-19,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-20,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-21,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-24,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-25,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-26,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-27,24,28,7,0,0,0,0,10,20,0,21,25,14,0,10,50,0,0,0,26,30,0,0,0,0,0,0,0,0,9,0,0,0,0,0,8,15,0,11,11,0,0,0,0,0,17,19,0,0,0,0,24,0,7,3,0,26,0,0,0,0,11,34,0
1997-11-28,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-01,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-02,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-03,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-04,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-05,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-08,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-09,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-10,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-11,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-12,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-15,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-16,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-17,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-18,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-19,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-22,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-23,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-24,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-25,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-26,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-29,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-30,26,30,8,12,0,0,0,11,0,72,22,27,15,0,11,50,0,0,0,27,31,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,12,11,0,0,0,0,0,0,21,0,0,0,0,0,0,7,5,0,28,0,0,0,0,12,36,0
1997-12-31,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-02,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-05,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-06,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-07,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-08,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-09,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-12,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-13,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-14,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-15,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-16,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-19,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-20,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-21,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-22,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-23,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-26,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-27,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
1998-01-28,30,35,9,12,0,0,0,12,0,66,24,0,18,0,12,50,0,0,0,0,36,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,28,0,7,0,0,33,0,0,0,0,14,41,0
